174,423
174,235
173,451
172,893
172,578
171,743
171,228
160,562
156,905
154,287
152,507
151,503
151,676
156,366
139,425
137,626
146,715
150,839
150,32
151,621
164,336
164,542
162,447
156,258
141,401
140,854
129,506
123,427
129,138
138,188
152,64
154,678
154,786
150,426
157,45
164,125
161,547
171,425
169,71
169,28
168,191
168,833
168,059
164,329
160,071
139,373
136,899
135,986
130,467
129,271
135,901
136,693
141,972
118,659
147,298
144,837
142,677
133,649
133,825
138,561
140,334
145,126
149,768
151,135
152,68
159,179
160,334
162,167
157,404
161,789
165,713
167,814
169,367
169,559
170,148
169,723
167,303
148,244
149,628
146,606
132,545
134,95
131,44
129,096
131,145
132,206
132,052
131,345
156,538
160,861
160,274
158,932
157,481
170,672
169,594
145,7
143,906
142,686
141,674
141,224
140,277
141,381
142,287
143,604
136,951
132,67
134,595
137,319
136,508
138,458
153,492
153,331
153,095
153,884
153,16
151,366
150,809
150,366
143,434
137,438
127,312
123,608
124,784
130,165
139,68
151,461
156,128
157,425
159,431
160,605
156,814
152,344
148,97
141,765
142,27
146,117
168,061
145,519
165,902
164,329
161,973
159,694
143,077
132,982
132,233
129,79
129,046
138,338
139,304
138,493
152,737
151,858
151,967
152,922
152,336
151,531
150,14
149,982
147,126
146,513
145,049
141,922
129,872
129,28
131,319
135,411
128,019
143,651
145,204
161,713
165,484
165,527
161,535
165,662
153,933
143,377
141,497
169,504
168,202
165,941
162,225
159,463
153,798
140,665
131,669
129,422
129,974
135,177
134,551
152,214
152,413
152,127
151,779
150,957
153,062
152,45
149,887
144,138
130,011
129,971
132,384
135,944
144,347
130,473
149,812
158,705
160,395
159,737
156,409
156,29
146,376
142,032
139,158
144,517
166,798
165,343
163,262
161,71
160,824
161,036
151,679
133,391
130,77
128,476
126,004
125,678
135,268
135,993
132,478
144,547
143,087
151,969
151,033
150,573
150,755
151,992
152,142
151,533
150,393
147,682
140,967
137,189
138,245
148,499
152,236
146,601
150,501
159,036
156,399
155,161
150,44
149,971
145,741
144,772
142,208
168,329
164,934
164,079
162,147
160,88
161,766
160,924
159,747
155,216
148,842
128,396
128,986
138,094
141,964
140,179
152,137
153,637
152,973
151,727
150,402
149,641
146,296
148,971
147,15
144,592
139,453
114,12
114,762
118,078
123,905
148,592
151,423
159,715
166,781
165,051
163,929
165,269
163,343
162,718
161,339
160,146
158,087
153,069
146,829
134,116
132,731
133,152
132,722
135,308
138,2
140,001
152,431
151,628
151,195
149,877
149,988
149,273
147,691
147,264
146,09
144,267
142,383
137,364
140,426
143,905
151,006
127,794
145,536
166,698
168,211
168,753
170,787
169,109
168,054
166,58
165,476
161,824
155,191
149,835
142,011
135,252
133,474
131,609
130,069
138,241
157,566
155,641
155,295
154,174
152,842
154,618
151,21
149,269
147,672
145,413
145,139
148,64
153,757
127,678
160,49
167,92
165,872
165,993
167,2
170,877
167,891
167,486
165,897
162,141
156,429
149,051
140,026
137,607
127,921
130,402
141,991
155,241
154,24
153,203
152,873
153,528
150,318
149,008
148,461
145,783
137,021
139,595
139,416
137,786
169,889
169,333
172,068
169,545
173,725
173,048
172,656
171,357
169,387
165,125
159,396
149,093
135,702
129,944
129,282
138,081
154,202
153,527
153,461
151,233
141,146
139,414
139,773
144,571
158,459
134,657
139,26
162,038
170,332
167,293
168,481
170,79
166,545
172,026
167,569
147,443
135,388
131,411
129,105
125,434
136,096
134,935
156,794
154,257
155,106
150,086
146,659
130,659
130,419
133,818
145,462
161,071
168,508
165,616
166,756
168,307
169,677
163,669
170,881
167,438
164,085
154,15
146,097
135,54
129,595
126,253
133,57
138,683
161,211
153,567
153,692
153,277
150,881
149,611
145,163
141,206
123,397
126,69
132,507
128,78
132,864
169,17
174,664
173,667
154,825
149,743
148,917
167,423
165,47
172,862
172,015
171,681
170,881
170,292
147,716
161,241
162,027
